e87f4c9 - cooljar, 2023-09-25 : no msg
95fa0eb - cooljar, 2023-09-21 : update swagger doc
1d883f2 - cooljar, 2023-09-21 : jwt tambah field id_pegawai
c174fe1 - cooljar, 2023-09-19 : no msg
570220a - cooljar, 2023-09-17 : clean code
0fed6f6 - cooljar, 2023-09-17 : test discord notifier
2d45583 - cooljar, 2023-09-17 : fixed auth all module
fdb769b - cooljar, 2023-09-17 : fixed user-manager index endpoint
2bfb9a1 - cooljar, 2023-09-17 : no msg
711d6a1 - cooljar, 2023-09-16 : modify Jenkinsfile
a441dda - cooljar, 2023-09-16 : modify jenkinsfil & k8s
edcd74a - cooljar, 2023-09-16 : penambahan endpoint detail dan list user di modul user manager
b4df0d0 - cooljar, 2023-09-16 : penambahan fitur batch insert user
be1767c - cooljar, 2023-09-15 : minor changes
911d886 - cooljar, 2023-09-14 : switch coding to ubuntu
3643e86 - cooljar, 2023-09-14 : edit migrations/000003_seed_user_data.up.sql
888f760 - cooljar, 2023-09-12 : update deployment.yaml
2a367cb - cooljar, 2023-09-11 : no msg
cc4406f - cooljar, 2023-09-11 : no msg
c0b76ae - cooljar, 2023-09-11 : no msg
366d839 - cooljar, 2023-09-11 : no msg
96e12c7 - cooljar, 2023-09-11 : no msg
8704e65 - cooljar, 2023-09-11 : no msg
31d116d - cooljar, 2023-09-11 : modify Jenkinsfile
286a098 - cooljar, 2023-09-11 : modify Jenkinsfile
c901c27 - cooljar, 2023-09-11 : modify Jenkinsfile
e27d6ed - cooljar, 2023-09-11 : no msg
b265354 - cooljar, 2023-09-11 : no msg
5ca790d - cooljar, 2023-09-10 : no msg
cbbb280 - cooljar, 2023-09-10 : no msg
54e28c3 - cooljar, 2023-09-10 : no msg
fb05cb9 - cooljar, 2023-09-10 : no msg
18800c4 - cooljar, 2023-09-10 : no msg
aff3ed8 - cooljar, 2023-09-09 : no msg
190c382 - cooljar, 2023-09-08 : no msg
703cfd7 - cooljar, 2023-09-07 : no msg
9d2631e - cooljar, 2023-09-07 : no msg
8b9327d - cooljar, 2023-09-07 : no msg
ba45e80 - cooljar, 2023-09-07 : modify Jenkinsfile
94045fe - cooljar, 2023-09-07 : no msg
b45e338 - cooljar, 2023-09-07 : no msg
8f0d7ac - cooljar, 2023-09-07 : no msg
b4aaea5 - cooljar, 2023-09-07 : no msg
a194d23 - cooljar, 2023-09-07 : suport siap
9485db2 - cooljar, 2023-09-05 : modify Jenkinsfile
9b98f70 - cooljar, 2023-09-03 : modify gitlab-ci.yaml
4497ff9 - cooljar, 2023-09-02 : add Jenkinsfile
b0f0ad5 - cooljar, 2023-09-02 : starting production version 1.0.0
c24dafc - cooljar, 2023-09-01 : no msg
ec77d52 - cooljar, 2023-08-31 : modify gitlab-ci.yml
e922984 - cooljar, 2023-08-31 : modify gitlab-ci.yml
f0f5adb - cooljar, 2023-08-31 : modify gitlab-ci.yml
09cd298 - cooljar, 2023-08-31 : modify gitlab-ci.yml
acd8fb1 - cooljar, 2023-08-31 : add gitlab-ci.yml
62fb5d3 - cooljar, 2023-08-31 : penambahan tabel konfigurasi jwt pada service auth. Penyesuaian database table secara manual diperlukan
3ebbac1 - cooljar, 2023-08-10 : minor changes, no need to update.
b92ecfc - cooljar, 2023-08-10 : minor changes, no need to update.
6b4700e - cooljar, 2023-02-16 : minor changes, no need to update. no message
ceaee6c - cooljar, 2023-02-16 : minor changes, no need to update. no message
7feb568 - cooljar, 2023-02-16 : Revert "minor changes, no need to update."
590b75b - cooljar, 2023-02-16 : Merge remote-tracking branch 'origin/main' into main
28fe4ef - cooljar, 2023-02-15 : minor changes, no need to update. no message
b6a69f4 - cooljar, 2023-02-15 : minor changes, no need to update.
9e24bee - cooljar, 2023-02-15 : minor changes, no need to update.
9b60e78 - cooljar, 2023-02-14 : no msg
8a01d25 - cooljar, 2023-02-12 : update readme
35299ec - cooljar, 2023-02-12 : update readme
57040b6 - cooljar, 2023-01-30 : update method edit user, penambahan parameter id_daerah
ee30341 - cooljar, 2023-01-30 : update go mod
e13bcf3 - cooljar, 2023-01-30 : revisi endpoint change active status user, semua parameter digabung kedalam payload.
52d3c00 - cooljar, 2023-01-30 : validasi field is_locked dan is_deleted pada fungsi login
cc26cec - cooljar, 2023-01-30 : validasi max limit pagination list users 50 records
ea3e701 - cooljar, 2023-01-30 : downgrade to go1.8
542d0e4 - cooljar, 2023-01-30 : dockerfile update
86d0c63 - cooljar, 2023-01-29 : Penambahan fitur list user, setup status aktif user dan edit user data
5d58600 - cooljar, 2022-11-23 : add fungsi ubah password
f8dd332 - cooljar, 2022-11-19 : no msg
b4c6824 - cooljar, 2022-11-10 : add hashed attribute to profile endpoint
4f72990 - cooljar, 2022-11-06 : Penambahan attribute id_level kedalam jwt token.
59706b0 - cooljar, 2022-11-01 : Penambahan fitur login attempt. kesempatan 5 kali salah login sebelum diblokir selama 5 menit.
8384875 - cooljar, 2022-10-27 : no msg
664a716 - cooljar, 2022-10-19 : change Makefile docker network to host.
0a5e4e6 - cooljar, 2022-10-15 : adjust all rbac service handler and controller function based on user_id + id_daerah.
17528e8 - cooljar, 2022-10-15 : update profile function and add profile role permission route to rbac migrations
08ef3e4 - cooljar, 2022-10-15 : ignored
33d4057 - cooljar, 2022-07-28 : no msg
51706ef - cooljar, 2022-07-28 : no msg
d16a717 - cooljar, 2022-07-28 : no msg
db1a5ff - cooljar, 2022-07-28 : fixed login auth using id daerah.
9c7b373 - cooljar, 2022-07-28 : fixed login auth using id daerah.
21f80c1 - cooljar, 2022-07-28 : fixed login auth using id daerah.
5a3adef - cooljar, 2022-07-20 : no msg
a6e91c1 - cooljar, 2022-07-20 : no msg
9d5ef56 - cooljar, 2022-06-30 : no msg
8454a53 - cooljar, 2022-06-30 : Merge branch 'wasis' into main
c3a4c55 - sigit wasis subekti, 2022-06-30 : add function for list all user by id_daerah
27c3be8 - sigit wasis subekti, 2022-06-30 : remove tahun in authentication
389f009 - cooljar, 2022-06-29 : no msg
92bfade - cooljar, 2022-06-29 : no msg
cb126a5 - cooljar, 2022-06-29 : no msg
bd73e6a - cooljar, 2022-06-29 : no msg
29cec64 - cooljar, 2022-06-29 : no msg
3c5d92b - sigit wasis subekti, 2022-06-26 : no msg
4cb6260 - sigit wasis subekti, 2022-06-26 : add fitur tahun pada login
8e75555 - sigit wasis subekti, 2022-06-25 : add function checkAccess in func profile
f527aff - sigit wasis subekti, 2022-06-25 : add function check access store user
f5e7149 - cooljar, 2022-06-25 : penambahan env external url, salah satunya url ke service rbac.
8cfbd0b - cooljar, 2022-06-25 : penambahan env external url, salah satunya url ke service rbac.
c819b3b - cooljar, 2022-06-25 : to do untuk dihubungkan ke service rbac
bdc0967 - cooljar, 2022-06-25 : to do untuk dihubungkan ke service rbac
3732710 - cooljar, 2022-06-25 : to do untuk dihubungkan ke service rbac
4295786 - cooljar, 2022-06-25 : revisi di controller user dan handler user. penamaan variable harus camel case
453cab9 - sigit wasis subekti, 2022-06-22 : create modul insert new user
68becf5 - sigit wasis subekti, 2022-06-21 : add comment in query register
de6a506 - cooljar, 2022-06-21 : revisi model signup dan controller auth register, field jabatan dibuang.
8308e82 - cooljar, 2022-06-21 : revisi model signup dan controller auth register, field jabatan dibuang.
eb2403b - cooljar, 2022-06-21 : revisi model signup dan controller auth register, field jabatan dibuang.
f3e06d0 - sigit wasis subekti, 2022-06-21 : update model signup
f7be511 - cooljar, 2022-06-21 : comment on signup form model
ae4ec6e - cooljar, 2022-06-21 : comment on signup form model
c960ad0 - cooljar, 2022-06-21 : no msg
72f2f8f - sigit wasis subekti, 2022-06-21 : create modul register user
78dade4 - cooljar, 2022-06-18 : no msg
bf02c96 - cooljar, 2022-06-07 : no msg
4ccdd57 - cooljar, 2022-06-07 : no msg
544393e - cooljar, 2022-06-07 : no msg
2c298f1 - cooljar, 2022-06-06 : no msg
14d34cf - cooljar, 2022-06-06 : no msg
e8aef55 - cooljar, 2022-06-06 : no msg
295758a - cooljar, 2022-05-28 : no msg
f5720ce - cooljar, 2022-05-27 : no msg
bd08575 - cooljar, 2022-05-23 : no msg
0918376 - cooljar, 2022-05-23 : no msg
a252639 - cooljar, 2022-05-23 : no msg
cc0905c - cooljar, 2022-05-23 : no msg
87198d7 - cooljar, 2022-05-18 : no msg
74b3176 - cooljar, 2022-05-12 : no msg
497a129 - cooljar, 2022-05-12 : no msg
